date,port_total
2014-09-22,-0.00010277893756704552
2014-09-23,-0.00033822645632732663
2014-09-24,0.0008331276299787053
2014-09-25,-0.00013355702339034285
2014-09-26,0.00020365631570762514
2014-09-29,0.0005085194828951943
2014-09-30,0.0002901844749304402
2014-10-01,-0.00021064112601351355
2014-10-02,-6.652077679737071e-05
2014-10-03,-0.0001018403934863118
2014-10-06,-0.0002474423735877
2014-10-07,0.00022883503118602578
2014-10-08,-3.998994285278048e-05
2014-10-09,-0.0005609156638822395
2014-10-10,0.00045887864842611957
2014-10-13,-0.0005323881037251998
2014-10-14,-0.0003845343955027635
2014-10-15,-0.00011276193221363635
2014-10-16,-0.00024897773705414005
2014-10-17,0.0003079159551502108
2014-10-20,0.00014201505474072015
2014-10-21,0.00021992698213002418
2014-10-22,0.0004967635723337403
2014-10-23,0.0003429105461740518
2014-10-24,0.0001362088517522988
2014-10-27,-0.0006253569226226366
2014-10-28,0.00017263166171574976
2014-10-29,0.00025522131400640804
2014-10-30,0.0006916245352098537
2014-10-31,1.3520153585934382e-05
2014-11-03,4.5343173349653536e-05
2014-11-04,-0.0004211668863093985
2014-11-05,-0.00019585790027339128
2014-11-06,5.515341777785973e-05
2014-11-07,-0.0006525128212394925
2014-11-10,0.0004164942769774248
2014-11-11,0.0002617106665282762
2014-11-12,1.011702747354175e-05
2014-11-13,-3.235123626464743e-06
2014-11-14,-0.0001913248936570204
2014-11-17,6.398735001683421e-05
2014-11-18,-8.663864915596395e-05
2014-11-19,0.0003089234913351115
2014-11-20,0.0006216186115355913
2014-11-21,0.0005446715288766403
2014-11-24,0.0002472877354423812
2014-11-25,8.846481818981577e-05
2014-11-26,0.0004889688226455351
2014-11-27,3.492400286557386e-05
2014-11-28,0.0005926328824781214
2014-12-01,0.0006938406795148195
2014-12-02,-4.3979933684823664e-05
2014-12-03,-0.00015025775276151991
2014-12-04,0.00028148528461605435
2014-12-05,0.0004522786482737001
2014-12-08,0.0003384423896777267
2014-12-09,-0.000309875425378824
2014-12-10,-0.0005368377474301686
2014-12-11,0.0003559568991285269
2014-12-12,-0.0002951467674763297
2014-12-15,-0.0006780749323748967
2014-12-16,9.986129050829461e-05
2014-12-17,0.001144328969007313
2014-12-18,0.0008566073438850169
2014-12-19,0.00046002891885139923
2014-12-22,0.00048630008272881875
2014-12-23,-0.0001951932752464201
2014-12-24,-0.00020088469222262007
2014-12-25,0.00019160526062363635
2014-12-26,0.00039305743157644075
2014-12-29,0.00014929252083766247
2014-12-30,-0.0002697065372905058
2014-12-31,0.00037626910273263223
2015-01-02,0.00014798106330326057
2015-01-05,0.00015685857750350238
2015-01-06,-0.0005003116305959496
2015-01-07,-2.8610827756500353e-05
2015-01-08,0.0004423027638500275
2015-01-09,-0.00012151213073646039
2015-01-12,-1.523138929503973e-05
2015-01-13,-6.869573855609301e-05
2015-01-14,-0.00010877394574440049
2015-01-15,0.00013659627834220302
2015-01-16,0.0004205875111475368
2015-01-19,-0.000476452777886792
2015-01-20,0.000563614987585651
2015-01-21,0.0007812042626160667
2015-01-22,0.0007514871401081158
2015-01-23,0.0011210390147854677
2015-01-26,0.0001677514164252708
2015-01-27,-0.0006876449131677506
2015-01-28,0.0001826749852534134
2015-01-29,0.00032555645661217544
2015-01-30,-0.00038540529542928885
2015-02-02,8.810339232805277e-06
2015-02-03,4.115416130128555e-05
2015-02-04,-3.244862947970371e-05
